cadireta
cadcont,cadpai,cadfilho,cadstatus,cadsuscad,cadpainome,cadfilnome,cadpaium,cadfilum,caduso,cadcomp,cadlarg,cadesp,cadpeso,cadfase,cadgrav,cadhora,cadimpdt,cadimphr,cadusuimp,cadlocal,cadgrpai,cadsgpai,cadsgrfil,cadsgfil,cadoriemb,cadproj,cadarquivo,cadcobr,cadlabr,cadesbr,cadclass,cadplcor,cadusamed,cadborint,cadbordsup,cadbordinf,cadboresq,cadbordir,cadpaiarea,cadtpfil,cadpembpr,cadpembpp,cadindter,caddimper,cadapp,cadmatricula
7,"P""_""6","F""_""42",N,IMP3CAD,Bancada Base,LAT DIR,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:13,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
7,"P""_""6","F""_""43",N,IMP3CAD,Bancada Base,LAT ESQ,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:13,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
7,"P""_""6","F""_""44",N,IMP3CAD,Bancada Base,TRAV VERT,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:13,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
7,"P""_""6","F""_""45",N,IMP3CAD,Bancada Base,TRAV VERT,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:13,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
7,"P""_""6","F""_""46",N,IMP3CAD,Bancada Base,TRAV VERT,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:13,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
1,5.8.1124,"P""_""7",N,IMP3CAD,ARMARIO 18MM BRANCO TX COZINHA      {RT16},PAINEL 3F1B LAP,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:13,1774234800000,,,,500,8,400,1,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
8,"P""_""7","F""_""47",N,IMP3CAD,PAINEL 3F1B LAP,TAMBOR MINIFIX 15MM                               ,UN,UN,4.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:13,1774234800000,,,,400,1,100,4,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
8,"P""_""7","F""_""48",N,IMP3CAD,PAINEL 3F1B LAP,PARAFUSO MINIFIX 6.3MM ZAMAC                      ,UN,UN,4.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:14,1774234800000,,,,400,1,100,4,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
8,"P""_""7","F""_""49",N,IMP3CAD,PAINEL 3F1B LAP,PAINEL 3F1B LAP,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:14,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
1,5.8.1124,"P""_""8",N,IMP3CAD,ARMARIO 18MM BRANCO TX COZINHA      {RT16},PAINEL 3F1B LAP,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:14,1774234800000,,,,500,8,400,1,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
